customer_id	amount_requested	birth_date	status	residence_rent_or_own	monthly_rent_amount	bank_account_direct_deposit	application_when	loan_duration	payment_ach	num_payments	payment_amount	amount_approved	duration_approved	payment_amount_approved	address_zip	email	bank_routing_number	email_duration	residence_duration	bank_account_duration	payment_frequency	home_phone_type	other_phone_type	how_use_money	monthly_income_amount	raw_l2c_score	raw_FICO_telecom	raw_FICO_retail	raw_FICO_bank_card	raw_FICO_money
9ece67d6c5	500	8/21/91	Approved	TRUE	0	TRUE	10/16/10 14:06	3	TRUE	6	138.48	500	3		84118	WanitaGVinyard@gmail.com	124001545	1 year or more	6 months or less	6 months or less	Semi-monthly	Mobile		Other	1560	614	574	600	656	561
5c2c402094	500	7/24/90	Approved	TRUE	0	FALSE	10/17/10 13:01	6	TRUE	13	77.39	500	6		84062	NatashaTTucker@yahoo.com	124000054	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	900	708	501	550	651	563
e6254cad30	400	9/13/80	Approved	TRUE	620	TRUE	10/17/10 19:52	6	TRUE	13	61.91	400	6		84119	AnneDCisneros@hotmail.com	124001545	1 year or more	7-12 months	1-2 years	Bi-weekly	Mobile		Other	1434	687	522	561	661	598
49fb42f51d	500	9/10/76	Approved	FALSE	785	FALSE	10/18/10 7:05	4	TRUE	8	108.48	500	4		84405	CatalinaRRoderick@hotmail.com	124002971	1 year or more	3+ years	7-12 months	Bi-weekly	Mobile		Other	1600	616	560	552	634	591
195fbe5739	300	12/1/79	Approved	TRUE	700	TRUE	10/19/10 10:58	4	TRUE	8	65.09	300	4		84404	PhillipMSinn@aol.com	124002971	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile	Home	Other	1360	681	603	654	659	636
b5286ff5b4	400	5/23/77	Approved	FALSE	1600	TRUE	10/21/10 21:21	4	TRUE	4	107.61	400	4		84020	BeckyRFleischer@aol.com	324079500	1 year or more	1-2 years	1-2 years	Monthly	Mobile		Other	4900	716	573	571	680	620
d06841c8cf	300	1/6/60	Approved	TRUE	865	TRUE	10/23/10 19:52	4	TRUE	4	136.6	300	4		84404	DorisTGowen@hotmail.com	324377516	1 year or more	3+ years	1-2 years	Monthly	Mobile		Other	3200	486	580	627	659	627
90e4cdc381	500	10/17/59	Approved	TRUE	1000	TRUE	10/24/10 16:05	2	TRUE	4	129.35	500	2		84020	CarolynCSmith@aol.com	124000054	1 year or more	6 months or less	6 months or less	Bi-weekly	Mobile		Other	2200	530	537	508	551	583
c1a1065b7a	400	4/20/61	Approved	TRUE	169	TRUE	10/26/10 11:22	4	TRUE	4	182.14	400	4	164.04	84116	MarieCMurr@aol.com	324079555	1 year or more	3+ years	1-2 years	Monthly	Home	Mobile	Other	1200	645	532	560	680	594
0dba6b011d	500	12/27/82	Approved	TRUE	1265	TRUE	10/27/10 14:12	6	TRUE	13	77.39	500	6		84095	DorothyJBoerger@yahoo.com	124001545	1 year or more	6 months or less	1-2 years	Bi-weekly	Mobile		Other	4160	586	527	525	637	592
